asin,product_title,product_price,product_original_price,product_star_rating,product_num_ratings,product_num_offers,product_minimum_offer_price,is_best_seller,is_amazon_choice,is_prime,climate_pledge_friendly,sales_volume,has_variations,sales_volume_clean,has_discounts
B0CZ9SYQGY,"panasonic cordless phone, easy to use with large display and big buttons, flashing favorites key, built in flashlight, call block, volume boost, talking caller id, 2 cordless handsets - kx-tgu432w",69.99,69.99,4.3,434,4,48.03,False,False,True,False,400+ bought in past month,False,400.0,False
B09BFRV59N,"samsung galaxy s21 fe 5g cell phone, factory unlocked android smartphone, 128gb, 120hz display screen, pro grade camera, all day intelligent battery, us version, 2022, white",319.95,348.28,4.5,14909,1,319.95,False,False,True,True,200+ bought in past month,True,200.0,True
B08Y727NMK,"oneplus 9 winter mist, 5g unlocked android smartphone u.s version, 8gb ram+128gb storage, 120hz fluid display, hasselblad triple camera, 65w ultra fast charge, 15w wireless charge, with alexa built-in",188.89,599.99,4.2,1039,1,188.89,False,False,True,False,200+ bought in past month,True,200.0,True
B09Q7JLN13,simbros radiant core phone at&amp;t unlocked u304aa 4g 5.5in 16gb smart phone simkey -unlocked to work on all gsm carriers like at&amp;t t-mobile &amp; cricket -not for verizon,39.99,49.99,3.0,58,1,39.99,False,False,True,True,50+ bought in past month,False,50.0,True
B0CL7RDZXD,"blu c5 max | unlocked | 5.7” hd+ display | 5mp camera | (red, 32gb)",54.99,54.99,3.3,679,2,44.99,False,False,True,False,100+ bought in past month,True,100.0,False
B0D9927L49,motorola moto g power 5g | 2023 | unlocked | made for us 4/128gb | 50 mpcamera | mineral black,144.99,144.99,3.5,11,6,143.54,False,False,True,False,500+ bought in past month,False,500.0,False
B0C2G7GQ6H,samsung galaxy a54 5g 256gb + 8gb unlocked worldwide dual sim 6.4&quot; 120hz 50mp triple cam - (black),379.5,379.5,4.0,380,3,319.99,False,False,True,True,400+ bought in past month,False,400.0,False
B01LZV2HVG,"panasonic amplified cordless phone with slow talk, 40db volume boost, 100db loud visual ringer, hearing aid compatibility, large screen and backlit keypad - kx-tgm420w - 1 handset (white)",103.76,119.99,4.3,1452,25,49.99,False,False,True,False,300+ bought in past month,False,300.0,True
B00V5ZJXNE,panasonic corded/cordless phone system with answering machine and one touch call blocking – 3 handsets - kx-tgf353n (champagne gold),139.95,139.95,4.4,2038,4,92.89,False,False,True,False,100+ bought in past month,False,100.0,False
B07D2BHBYR,"at&amp;t cl84107 dect 6.0 expandable corded/cordless phone with smart call blocker, black/silver with 1 handset",76.95,88.14,4.4,5154,5,32.95,False,False,True,False,200+ bought in past month,False,200.0,True
B088XZFKJ5,samsung galaxy a20 32gb 6.4&quot; display a205u black unlocked smartphone (renewed),91.75,199.95,3.9,641,17,56.1,False,False,False,True,100+ bought in past month,False,100.0,True
B0CBNLS6BD,"motorola moto g stylus | 2022 | 2-day battery | unlocked | made for us 4/128gb | 50mp camera | twilight blue | 4g ram, 4g/3g cellular technology",169.99,169.99,4.3,1240,7,74.63,False,False,True,False,200+ bought in past month,False,200.0,False
B07H8PXT7K,"samsung galaxy note 9, 128gb, lavender purple - unlocked (renewed)",183.0,198.0,4.3,3281,6,156.0,False,False,False,True,100+ bought in past month,False,100.0,True
B0D1ZFS9GH,moto g stylus 5g | 2024 | unlocked | made for us 8/256gb | 50mp camera | caramel latte,349.99,399.99,4.3,55,3,335.72,False,False,True,False,400+ bought in past month,False,400.0,True
B08HHT4XTS,"samsung electronics galaxy note 20 ultra 5g factory unlocked android cell phone | us version | 128gb of storage | mobile gaming smartphone | mystic bronze, sm-n986uznaxaa (renewed)",344.0,344.0,4.1,1866,22,294.0,False,False,True,True,400+ bought in past month,True,400.0,False
B0CMDKX76Q,"samsung galaxy s24 cell phone, 256gb ai smartphone, unlocked android, 50mp camera, fastest processor, long battery life, us version, 2024, amber yellow",859.99,859.99,4.4,424,1,859.99,False,False,True,True,50+ bought in past month,False,50.0,False
